"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"1487","faUQnyuIb94","Don&#39;t give into the hate. MSM is the real enemy.","Don't give into the hate. MSM is the real enemy.","RhythmicMessenger","https://yt3.ggpht.com/a/AATXAJy6xh8aGFC0doxy7XOskZ6OA6F_ve1GKV-aEw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCEUQDdCb_jULpToNAlXc54A","UCEUQDdCb_jULpToNAlXc54A","TRUE","none","4","2019-07-09T17:01:30Z","2019-07-09T17:01:30Z","UgyRs9edT0UmfMVWBrp4AaABAg",NA,NA
"1488","faUQnyuIb94","Strahan: We have gifts!<br />Rapino: Is it dogs?!!<br /><br />Another reason she’s my favorite. 😂😂","Strahan: We have gifts!
Rapino: Is it dogs?!!

Another reason she’s my favorite. 😂😂","Mel","https://yt3.ggpht.com/a/AATXAJwhYVs_qxUz-WxtCwA08DRTfGpNchCNS22fRQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC1YhavY-ev7RRGPmaUgaG8g","UC1YhavY-ev7RRGPmaUgaG8g","TRUE","none","28","2019-07-09T17:01:15Z","2019-08-09T14:49:41Z","UgxHsw8kL64yOFo-RG54AaABAg",NA,NA
"1489","faUQnyuIb94","THE 2 MEN WELL 1MEN AND A HALF SHOULD HAVE GIVEN THEIR SEATS TO THE CHAMPIONS STANDING ON THE LEFT SIDE. THERE ARE NO GENTLEMEN ANYMORE?","THE 2 MEN WELL 1MEN AND A HALF SHOULD HAVE GIVEN THEIR SEATS TO THE CHAMPIONS STANDING ON THE LEFT SIDE. THERE ARE NO GENTLEMEN ANYMORE?","Father Finger","https://yt3.ggpht.com/a/AATXAJzqm4kovyIva0121b3mQ5r2mEHUDl5XR7ITVA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCx6cQrWZZ99oxEQB_sAbANw","UCx6cQrWZZ99oxEQB_sAbANw","TRUE","none","0","2019-07-09T17:00:06Z","2019-07-09T17:00:06Z","UgzyoikQJS3nDAhq61x4AaABAg",NA,NA
"1490","faUQnyuIb94","Rose ur awesome! Go Cincinnati!","Rose ur awesome! Go Cincinnati!","Lou - Brawl Stars","https://yt3.ggpht.com/a/AATXAJwiuz-OrHl6vUknzRPKJaQmF5Y1fmgaDUU-4Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCytuoWVgsQU_9Mh96cSSriQ","UCytuoWVgsQU_9Mh96cSSriQ","TRUE","none","3","2019-07-09T16:59:13Z","2019-07-09T16:59:13Z","UgzFp1Qukr9aIn4hVad4AaABAg",NA,NA
"1491","faUQnyuIb94","I love this team , I love watching this team , this team is why I watch ladies football !! <br />I’m from Scotland but this team are in my heart 🇺🇸","I love this team , I love watching this team , this team is why I watch ladies football !! 
I’m from Scotland but this team are in my heart 🇺🇸","Neil Hogg","https://yt3.ggpht.com/a/AATXAJzSrCnL9W5CqfJOp-B3ZzMmk_ICn0BB5LDS=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCTpDOScARqFGz6rBbp0vRYg","UCTpDOScARqFGz6rBbp0vRYg","TRUE","none","41","2019-07-09T16:57:04Z","2019-07-09T16:57:04Z","UgwwVk51BsLxb4NXf0h4AaABAg",NA,NA
"1492","faUQnyuIb94","What an inspirational group of young women and I&#39;m very proud of them for representing our country. Go USA!","What an inspirational group of young women and I'm very proud of them for representing our country. Go USA!","Be A Star Entertainment","https://yt3.ggpht.com/a/AATXAJx89PagXIV7gzR1sF1slfrK4KecR_uMh7pY0Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCWvqxPIjPPI2Oqx_5ZTzWcQ","UCWvqxPIjPPI2Oqx_5ZTzWcQ","TRUE","none","13","2019-07-09T16:56:38Z","2019-07-09T16:56:38Z","Ugx-2M3W-oK0jGre1PR4AaABAg",NA,NA
"1493","faUQnyuIb94","Lavelle was all over the place in a great way.Her and Tobin are my MVPS.","Lavelle was all over the place in a great way.Her and Tobin are my MVPS.","Ktrain0218","https://yt3.ggpht.com/a/AATXAJwUXNXdLoGTUptQq_2kiO4mV7S1p_Gugk1Otg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCZJO1RI3HU0BPkIwybRqKGQ","UCZJO1RI3HU0BPkIwybRqKGQ","TRUE","none","220","2019-07-09T16:55:47Z","2019-07-09T16:55:47Z","UgxhWU_4rqUG5P0BEsd4AaABAg",NA,NA
"1494","faUQnyuIb94","Lavelle is my new celebrity crush. I like them see through pair of legs she’s got. Ummm.. my favorite 🤤","Lavelle is my new celebrity crush. I like them see through pair of legs she’s got. Ummm.. my favorite 🤤","Alex V","https://yt3.ggpht.com/a/AATXAJzJwt5askrF6g6aQqjWOAwMU9heNkcjkWDQXA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCoJa74QpYVbYKWjcXD4Guqw","UCoJa74QpYVbYKWjcXD4Guqw","TRUE","none","8","2019-07-09T16:55:12Z","2019-07-09T16:55:12Z","UgySmkAJOZoxWu2MpYF4AaABAg",NA,NA
"1495","faUQnyuIb94","Love this team! Congrats on all your hard work and journey on and off the field","Love this team! Congrats on all your hard work and journey on and off the field","Miriam McSpadden","https://yt3.ggpht.com/a/AATXAJzkFm62jQLWQjbgHy97EvQ1wZ4di57x84NIXQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCeu9QJ3tew8A1DDRYhppG6Q","UCeu9QJ3tew8A1DDRYhppG6Q","TRUE","none","17","2019-07-09T16:55:04Z","2019-07-09T16:55:04Z","UgyuIz7854ujiF4N63N4AaABAg",NA,NA
"1496","faUQnyuIb94","This isn’t about the sport. Corporations love feminism $$$ <br /><br /><a href=""http://www.youtube.com/results?search_query=%23GBITK"">#GBITK</a> Get Back In The Kitchen","This isn’t about the sport. Corporations love feminism $$$ 

#GBITK Get Back In The Kitchen","Jaen Gonzalez","https://yt3.ggpht.com/a/AATXAJwdisw1ymliw7mbdvlwl5Hqp5a_YdIbrZLlgg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCMeHqSN2TKkdoLhWhp7MSjA","UCMeHqSN2TKkdoLhWhp7MSjA","TRUE","none","1","2019-07-09T16:55:00Z","2019-07-09T16:55:00Z","UgxaXoLfvAl_fq5_OZ94AaABAg",NA,NA
"1497","faUQnyuIb94","I WON THE CUP FOR AMERICA , ONE SECOND LATER...EQUAL PAY! YOU DIDN&#39;T WIN FOR AMERICA! YOU DID IT FOR YOURSELF! ONLY FOR YOURSELF!","I WON THE CUP FOR AMERICA , ONE SECOND LATER...EQUAL PAY! YOU DIDN'T WIN FOR AMERICA! YOU DID IT FOR YOURSELF! ONLY FOR YOURSELF!","Father Finger","https://yt3.ggpht.com/a/AATXAJzqm4kovyIva0121b3mQ5r2mEHUDl5XR7ITVA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCx6cQrWZZ99oxEQB_sAbANw","UCx6cQrWZZ99oxEQB_sAbANw","TRUE","none","0","2019-07-09T16:53:50Z","2019-07-09T16:53:50Z","UgytskYXZNrKu85-ui94AaABAg",NA,NA
"1498","faUQnyuIb94","<a href=""http://www.youtube.com/results?search_query=%23preath"">#preath</a>","#preath","I Moon","https://yt3.ggpht.com/a/AATXAJwvpt8YZdQkCDiwRiffQiezVvKlfPYJj8KRvw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCye2rrqW_RqGUxonZcGRmCA","UCye2rrqW_RqGUxonZcGRmCA","TRUE","none","2","2019-07-09T16:53:26Z","2019-07-09T16:53:26Z","UgxtzMqDTyih8ab9Wj94AaABAg",NA,NA
"1499","faUQnyuIb94","&quot;They are great players but even better people&quot; - Jill Ellis. That pretty much defines this amazing women","""They are great players but even better people"" - Jill Ellis. That pretty much defines this amazing women","Breeze Incognito","https://yt3.ggpht.com/a/AATXAJwrHDCTrTu5GMXDMNF4p35Ju3NvU2qwNHKgPA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC7LAFrc8kDSjPpXfF64X44w","UC7LAFrc8kDSjPpXfF64X44w","TRUE","none","227","2019-07-09T16:53:12Z","2019-07-09T16:53:12Z","UgxxOPVqsGWc3TSaVO14AaABAg",NA,NA
"1500","faUQnyuIb94","OK,  why is Tobin Beath standing up to the far left. This player is the best one on entire squad. WOW!","OK,  why is Tobin Beath standing up to the far left. This player is the best one on entire squad. WOW!","mars GIA","https://yt3.ggpht.com/a/AATXAJy63rEUGlKTK4FPvMGDB70XjhHH_OZHqQctPQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCqO0k00J08xqQClCCKljrxg","UCqO0k00J08xqQClCCKljrxg","TRUE","none","369","2019-07-09T16:52:57Z","2019-07-09T16:52:57Z","UgzHAs8WSMxnd_tNMGZ4AaABAg",NA,NA
"1501","faUQnyuIb94","Let&#39;s talk about the way u dragged the flag and threw it to the ground","Let's talk about the way u dragged the flag and threw it to the ground","Rudy Herrera","https://yt3.ggpht.com/a/AATXAJx4AEfabtOhPX6Yh37iHMjB_5kxXw-kPAgvZg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC7RAXnaiDVz5M7mJ-6v_vLw","UC7RAXnaiDVz5M7mJ-6v_vLw","TRUE","none","3","2019-07-09T16:52:56Z","2019-07-09T16:52:56Z","Ugz9O09nrI00s6VYuUt4AaABAg",NA,NA
"1502","faUQnyuIb94","It was no penslty","It was no penslty","Jani","https://yt3.ggpht.com/a/AATXAJzcjo6oNLO9TmEy_Sw7gD_KqM9Mn63v2MFaBA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC3EaYOP33HzxicWHJ_T-K9A","UC3EaYOP33HzxicWHJ_T-K9A","TRUE","none","0","2019-07-09T16:51:54Z","2019-07-09T16:51:54Z","UgyCpZ3aZcmOD_n6P2t4AaABAg",NA,NA
"1503","faUQnyuIb94","🌹CONGRATS🌹LADIES🌹YOU WERE FOCUSED WITH DETERMINATION AND POISED🍷💓🍷💓🍷💓🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸","🌹CONGRATS🌹LADIES🌹YOU WERE FOCUSED WITH DETERMINATION AND POISED🍷💓🍷💓🍷💓🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸","Blues Jass","https://yt3.ggpht.com/a/AATXAJyhIQoS0D8Z7k1yoVs2N9RiDbGixk9N2a0FoQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCQCzlNdCZzrh3QaOhxNljzw","UCQCzlNdCZzrh3QaOhxNljzw","TRUE","none","16","2019-07-09T16:51:39Z","2019-07-09T16:51:39Z","UgwiFL2VzeZ8h0Flofh4AaABAg",NA,NA
