sensitivity_flagged,gender,age,education,employment,employment_other,hispanic,ethnicity,ethnicity_other,state,political_views,political_affiliation,harassment_sexual,harassment_other
1,1,35,3,1,,2,1,,36,1,1,2,2
1,1,30,4,1,,2,1,,10,2,3,2,2
1,1,30,4,1,,2,1,,23,1,1,2,2
1,2,28,3,4,,2,2,,21,5,2,5,5
1,1,28,5,2,,1,1,,49,4,3,1,2
1,2,24,4,1,,2,1,,23,5,2,1,2
1,1,31,5,1,,2,1,,10,3,3,3,3
1,1,31,5,1,,2,1,,10,3,3,3,3
1,2,45,2,8,self employed,2,1,,5,2,1,2,2
1,1,29,4,1,,2,4,,45,2,2,1,2
1,1,28,4,1,,2,1,,49,2,1,3,1
1,1,34,6,1,,2,1,,45,5,2,2,2
1,2,26,,2,,2,2,,5,4,2,2,2
1,2,37,4,1,,2,1,,27,5,4,3,2
1,2,42,4,1,,2,1,,36,3,5,2,2
1,1,31,4,1,,2,1,,45,2,2,2,2
1,1,31,4,1,,2,1,,6,3,3,2,2
1,2,49,3,7,,2,1,,45,2,1,5,5
1,1,45,3,1,,2,1,,38,4,4,2,2
1,2,30,4,2,,2,1,,5,5,4,1,2
1,1,30,4,1,,2,2,,33,4,2,2,2
1,2,24,3,1,,2,1,,10,3,3,2,2
1,2,41,4,9,,2,2,,36,4,2,2,2
1,1,36,4,1,,2,1,,5,3,3,1,1
1,2,38,4,1,,2,1,,19,4,3,2,2
1,1,22,4,1,,2,2,,21,4,2,2,2
1,1,21,3,1,,2,1,,5,4,2,2,2
1,2,30,4,2,,2,1,,11,3,3,2,2
1,1,30,4,1,,2,1,,39,3,2,2,2
1,1,22,2,8,Self-Employed,2,1,,51,3,3,2,2
1,1,34,2,1,,2,1,,23,6,5,2,2
0,1,28,6,1,,2,3,,39,3,3,2,3
0,2,24,4,1,,2,3,,21,5,2,2,2
0,1,63,3,2,,2,1,,25,2,3,2,2
0,1,44,3,1,,2,1,,10,2,1,2,2
0,2,33,6,2,,2,1,,31,2,1,2,2
0,2,28,3,1,,2,1,,31,3,3,2,2
0,2,52,3,1,,2,1,,45,2,1,2,2
0,1,32,3,8,Self-employed,2,1,,10,5,2,2,2
0,2,27,4,1,,2,1,,33,3,3,2,2
0,2,35,3,2,,2,1,,31,2,1,2,2
0,2,51,6,1,,2,4,,14,2,1,2,2
0,1,84,6,1,,2,1,,45,3,2,4,4
0,2,48,4,4,,2,1,,14,2,1,2,2
0,1,26,3,1,,1,3,,5,4,2,2,2
0,2,42,4,1,,2,3,,22,3,3,2,2
0,1,19,3,4,,2,1,,3,2,3,2,2
0,2,34,4,1,,2,4,,45,2,1,2,2
0,1,22,4,2,,2,1,,36,2,1,2,2
0,1,37,4,1,,2,3,,10,3,3,3,2
0,1,38,4,2,,2,3,,34,4,2,2,2
0,2,34,4,7,,2,1,,18,5,2,5,5
0,1,23,4,1,,1,1,,16,5,2,2,2
0,1,27,4,1,,2,3,,45,4,2,2,2
0,2,27,4,1,,2,1,,33,5,2,1,2
0,2,29,4,1,,2,1,,5,1,1,2,2
0,2,59,6,7,,2,1,,39,4,2,5,5
0,2,51,3,1,,1,1,,24,4,2,2,2
0,2,53,4,7,,2,2,,45,2,1,2,2
0,2,35,6,7,,2,1,,4,1,1,2,2
0,2,48,6,1,,2,3,,14,3,3,2,2
0,1,33,4,1,,2,1,,26,4,3,2,2
0,2,24,4,1,,2,1,,48,5,3,2,2
0,2,27,3,1,,2,1,,10,3,3,2,2
0,1,31,6,1,,2,1,,10,3,1,2,2
0,2,44,3,1,,2,1,,1,3,3,2,2
0,2,45,4,1,,2,1,,14,3,3,2,2
0,2,29,4,2,,2,1,,15,5,2,2,2
0,1,28,4,1,,2,1,,37,2,1,2,2
0,1,34,3,1,,2,1,,3,4,3,2,2
0,2,29,5,1,,1,1,,10,2,2,1,1
