"sex","age_cat","race","region","POP"
"Male","65 +","asian","West",546656
"Male","65 +","black","Midwest",425561
"Male","65 +","black","Northeast",373250
"Male","65 +","black","South",1421642
"Male","65 +","black","West",211004
"Male","65 +","hispanic","Midwest",305360
"Male","65 +","hispanic","Northeast",464256
"Male","65 +","hispanic","South",1309009
"Male","65 +","hispanic","West",1348828
"Male","65 +","other","Midwest",139679
"Male","65 +","other","Northeast",100316
"Male","65 +","other","South",256105
"Male","65 +","other","West",252084
"Male","65 +","white","Midwest",4365075
"Male","65 +","white","Northeast",3213229
"Male","65 +","white","South",6454989
"Male","65 +","white","West",3532721
