"sex","age_cat","race","region","POP"
"Male","65 +","hispanic","midwest",140089
"Male","65 +","hispanic","northeast",293151
"Male","65 +","hispanic","south",792753
"Male","65 +","hispanic","west",780222
"Male","65 +","other","midwest",49714
"Male","65 +","other","northeast",43232
"Male","65 +","other","south",116357
"Male","65 +","other","west",129263
"Male","65 +","white","midwest",4518652
"Male","65 +","white","northeast",3425330
"Male","65 +","white","south",6801925
"Male","65 +","white","west",3851568
